date,total_czk
2026-07-01,357824.21
2026-07-02,359354.5
2026-07-03,360509.07
2026-07-04,360747.62
2026-07-05,361050.89
2026-07-06,361676.12
2026-07-07,363021.67
2026-07-09,362550.63
2026-07-10,364707.2
2026-07-11,364911.0
2026-07-12,364769.42
2026-07-13,365400.94
2026-07-14,366239.47
2026-07-16,366340.65
2026-07-17,363744.7
2026-07-20,362338.12
2026-07-21,364113.6
2026-07-22,363449.57
2026-07-23,359379.29
2026-07-24,358548.48
2026-07-27,360227.23
2026-07-28,364533.89
2026-07-29,367619.01
2026-08-12,378051.36
2026-08-13,376618.96
2026-08-14,383350.24
